Number of captions, Number of images
1,704
2,9110
3,169
4,4
5,2
6,2
7,2
8,4
10,1
11,2

Number of captions, Image name,captions
2,001678.jpg,The excavator is unloading dirt into the dump truck.
2,001679.jpg,The backhoe ladder is loading dirt. 
2,001679.jpg,A back loader is traveling empty
2,001680.jpg,Three dozers are pushing soil over sloping surface.
2,001680.jpg,Three dozers are blade to blade dozing rocks and dirt.
2,001681.jpg,A bulldozer is spreading gravel on a base.
2,001681.jpg,A bulldozer is spreading gravel on the road.
2,001683.jpg,A mobile crane is parked in a parking lot.
2,001683.jpg,A mobile crane is stabilizing.
2,001684.jpg,Wheel loader is dumping soil into a dump truck.
2,001684.jpg,A wheel loader dumping sand into a dump truck.
2,001685.jpg,An excavator is unloading rocks into the bed of a dump truck.
2,001685.jpg,excavator is dumping load into dump truck
2,001687.jpg,Excavator in soil pit digging down.
2,001687.jpg,An excavator is excavating soil from a site.
2,001688.jpg,One mobile crane is entering site.
2,001688.jpg,A mobile crane is turning left on a train track.
2,001689.jpg,One backhoe loader is pushing soil.
2,001689.jpg,A backhoe loader is travelling on the construction site.
2,001690.jpg,A wheel loader is traveling (empty) in a construction site. A dump truck is transferring materials in a construction site. An excavator is excavating in a construction site.
2,001690.jpg,A wheel loader and a dump truck are travelling on the field.
2,001692.jpg,the backhoe loader is moving plants from the site.
2,001692.jpg,Dump truck on site waiting for backhoe loader.
2,001694.jpg,The compactor and grader are flattening the soil. 
2,001694.jpg,Grader is spreading gravel.  Compactor is compacting gravel.  Dump truck with load is leaving area.
2,001695.jpg,the grader is grading the road.
2,001695.jpg,A grader is grading the base of a cleared site.
2,001696.jpg,A dozer is moving on top of the hill.
2,001696.jpg,One dozer is backfilling an excavated portion.
2,001697.jpg,A compactor is parked at a site.
2,001697.jpg,the compactor is flattening crushed rocks on the road
2,001698.jpg,the  backhoe loader is about to pull its outriggers back.
2,001698.jpg,A backhoe loader is stabilized on the ground using hydraulic extensions.
2,001699.jpg,A backhoe loader is parked in a parking lot.
2,001699.jpg,One backhoe loader is moving over paved road.
2,001700.jpg,A wheel loader is travelling on the construction site.
2,001700.jpg,Wheel loader with empty bucket is driving on site road.
2,001701.jpg,The wheel loader is loading gravel. 
2,001701.jpg,A wheel loader is about to scoop rocks from a pile at the site.
2,001702.jpg,One mobile crane is at site.
2,001702.jpg,A mobile crane is transferring its load. 
2,001704.jpg,A backhoe loader and a dump truck are clearing rocks from the site.
2,001704.jpg,the backhoe loader is dumping rocks from its backhoe into a dump truck.
2,001705.jpg,A compactor is parked at a site.
2,001705.jpg,the compactor is travelling
2,001706.jpg,A grader is spreading soil 
2,001706.jpg,A grader is spreading the soil on the road.
2,001707.jpg,The backhoe loader is dumping the soil
2,001707.jpg,A backhoe loader is collecting dirt on a construction site.
2,001708.jpg,The mobile crane is being lowered to the ground. 
2,001708.jpg,Two mobile cranes are static and perform no actions
2,001710.jpg,The compactor is compacting dirt. 
2,001710.jpg,A compactor is maintaining the surface covered with soil.
2,001711.jpg,An excavator is excavating the soil. A dump truck waits in the background to for soil to br deposited into it
2,001711.jpg,An excavator and a dump truck is excavating soil.
2,001712.jpg,One grader is grading soil surface using blade.
2,001712.jpg,A grader is spreading materials on a dirt surface.
2,001713.jpg,A mobile crane is standing stabilized by an outrigger.
2,001713.jpg,Mobile crane set up.  Boom raised.
2,001714.jpg,the wheel loader is dropping sand at the site.
2,001714.jpg,A wheel loader is traveling on a construction site.
2,001715.jpg,Concrete mixer trucks are moving on the dirt road.
2,001715.jpg,Two concrete mixture are in a construction site.
2,001716.jpg,Wheel loader is dumping rocks into a dump truck.
2,001716.jpg,A wheel loader dumping boulders into a dump trucks.
2,001717.jpg,A grader is leveling the base for a road by cutting off wet soil.
2,001717.jpg,Grader is maintaining road
2,001718.jpg,An excavator excavating soil in a construction site.
2,001718.jpg,One excavator is excavating soil.
2,001719.jpg,A backhoe loader is transporting logs in a forest.
2,001719.jpg,Backhoe loader driving with a load of logs in loader bucket.
2,001720.jpg,A stationary excavator and a wheel loader are pushing sand towards it.
2,001720.jpg,One excavator is excavating and one wheel loader is loading soil in bucket.
2,001723.jpg,The dozer is loading soil. 
2,001723.jpg,a dozer is spreading the dirts in a fenced construction site beside a public green space
2,001724.jpg,Two concrete mixer trucks lined up for mobile crane with concrete bucket attachment for pouring foundation on site.
2,001724.jpg,the concrete mixer truck is dumping mixed concrete at the site.
2,001725.jpg,Wheel loader parked by soil bank.
2,001725.jpg,A wheel loader is loading the construction material from the site.
2,001727.jpg,A compactor is moving on the construction site.
2,001727.jpg,the compactor is compacting a sandy road.
2,001728.jpg,A dozer is leveling dirt.
2,001728.jpg,One dozer is collecting loose soil and two dump trucks are standing nearby.
2,001729.jpg, A wheel loader is loading rocks from the site.
2,001729.jpg,A wheel loader driving backwards. A tower crane lifting stones.
2,001730.jpg,a wheel loader and an excavator have stopped at the site.
2,001730.jpg,A wheel loader and an excavator parked on a construction site.
2,001733.jpg,A concrete mixer truck is leaving through a gate from a parking spot.
2,001733.jpg,The concrete mixer truck is transferring concrete across the street. 
2,001734.jpg,A grader is plowing through sand.
2,001734.jpg,One grader is flatening road using blade.
2,001735.jpg,the concrete mixer truck is travelling on a paved road in the mountain
2,001735.jpg,A concrete mixer truck is driving to a site.
2,001737.jpg,the grader is grading roadway
2,001737.jpg,A grader is cutting way gravel to level an area.
2,001738.jpg,A mobile crane is travelling on the road.
2,001738.jpg,A mobile crane is swinging 
2,001739.jpg,The dozer is spreading the soil
2,001739.jpg,A dozer is spreading dirt on land.
2,001740.jpg,An empty wheel loader is travelling
2,001740.jpg,The wheel loader is pushing soil. 
2,001742.jpg,The grader is grading the cement.
2,001742.jpg,A grader is waiting at the parking site.
2,001743.jpg,Excavator is excavating soil. Dump truck waiting to be loaded.
2,001743.jpg,excavator is lifting load. Dump truck is awaiting load
2,001745.jpg,A wheel loader is loading soil into the dump truck.
2,001745.jpg,The wheel loader is loading the dump truck
2,001746.jpg,A bulldozer is clearing wet soil at s site.
2,001746.jpg,Dozer is spreading dirt
2,001748.jpg,Dump truck with load of soil on stand by beside excavator in foreground.  Excavator and dump truck in background.
2,001748.jpg,One excavator is excavating earth material for dumping into dump truck.
2,001749.jpg,Wheel loader dumping soil onto pile.  Wheel loaders parked in background.
2,001749.jpg,A wheel loader is lifting excavated soil at a site.
2,001750.jpg,Excavators and dump trucks are clearing debris from a site.
2,001750.jpg,Two excavators are excavating and three dump trucks are standing nearby.
2,001751.jpg,A mobile crane is in standby with the stabilizers deployed.
2,001751.jpg,A mobile crane is standing at a site while being stabilized by an outrigger.
2,001752.jpg,One tower crane is in operation.
2,001752.jpg,A tower crane is lifting objects in a construction site.
2,001753.jpg,A backhoe loader excavating rocks and dirt in a rural area.
2,001753.jpg,One backhoe loader is excavating soil.
2,001754.jpg,Dozer scraping soil.
2,001754.jpg,A dozer is slot dozing the soil on the site.
2,001755.jpg,The wheel loader is transferring soil.
2,001755.jpg,A wheel loader is traveling (loaded) with sand and gravel.
2,001756.jpg,A wheel loader is dumping dirt into a dump truck.
2,001756.jpg,the wheel loader is headed towards a dump truck to dump its load.
2,001757.jpg,A wheel loader is dumping sand into a dump truck.
2,001757.jpg,A wheel loader is loading the soil. A dump truck is waiting to be loaded.
2,001758.jpg,The backhoe ladder is standing still. 
2,001758.jpg,the backhoe loader is grading dirts in the yard
2,001759.jpg,A wheel loader is excavating the stones.
2,001759.jpg,the wheel loader is dropping rocks at the site.
2,001760.jpg,One excavator is backfilling soil.
2,001760.jpg,An excavator is excavating the soil from the construction site.
2,001761.jpg,A grader is grading a sandy road.
2,001761.jpg,A grader is grading the road.
2,001762.jpg,Two graders are grading the path.
2,001762.jpg,the grader is smoothing the road.
2,001763.jpg,One wheel loader is unloading sand from bucket.
2,001763.jpg,A wheel loader is pouring dirt on a sieve. 
2,001764.jpg,A compactor compacting sandy roads infront of a glass building.
2,001764.jpg,A compactor is compacting the soil on the plot of land.
2,001765.jpg,The wheel loader is traveling empty and the dump truck is dumping
2,001765.jpg,A dump truck is dumping cement in a pile. A wheel loader is moving on the construction site.
2,001766.jpg,An excavator is loading dirt and excavating. There is another excavator in the proximity. 
2,001766.jpg,Two excavators are excavating soil.
2,001768.jpg,the backhoe loader is stabilized at the site with its outriggers and is swinging its backhoe.
2,001768.jpg,the backhoe loader is stabilized at the site and seen swinging its front bucket
2,001769.jpg,A wheel loader is carrying a load of soil at a site.
2,001769.jpg,A wheel loader is moving away with its dump. 
2,001771.jpg,A wheel loader is loading the cement blocks.
2,001771.jpg,The wheel loader is maneuvering
2,001772.jpg,A compactor is compacting the base for a road.
2,001772.jpg,the compactor is compacting the road
2,001773.jpg,A wheel loader is dumping soil into a dump truck
2,001773.jpg,A wheel loader is dumping the soil into the dump truck.
2,001774.jpg,An excavator is excavating dirt and dumping it in a dump truck.
2,001774.jpg,The dump truck is unloading sand. 
2,001775.jpg,A mobile crane is lifting object.
2,001775.jpg,A mobile crane performs no action
2,001777.jpg,a concrete mixer truck is mixing concrete while keeping it inside
2,001777.jpg,The concrete mixer truck is transferring the concrete
2,001778.jpg,A mobile crane is standing stabilized by an outrigger at a site.
2,001778.jpg,A mobile crane is parked on the road side.
2,001779.jpg,An excavator is collecting soil. A dump truck is waiting to be loaded.
2,001779.jpg,An excavator and a dump truck are excavating soil. An empty dump truck is moving. 
2,001780.jpg,The wheel loader is maneuvering
2,001780.jpg,A wheel loader is stripping sand in a construction site.
2,001781.jpg,Dump truck emptying load.  Dump truck parked with body tipped for emptying load.
2,001781.jpg,A dump truck is unloading debris at a site.
2,001782.jpg,One grader is grading soil surface.
2,001782.jpg,the grader is traveling at the site 
2,001783.jpg,A wheel loader dumping materials into a dump truck.
2,001783.jpg,A wheel loader and a dump truck are standing at a site.
2,001784.jpg,A grader is spreading mud.
2,001784.jpg,One grader is grading soil surface using blade.
2,001785.jpg,One wheel loader is going to load stones.
2,001785.jpg,A wheel loader traveling (empty) in a construction site.
2,001786.jpg,Excavator digging soil to fill dump trucks.  Two dump truck driving away with full loads of soil.
2,001786.jpg,An excavator is dumping the soil into the dump truck A dump truck is travelling on the field.
2,001787.jpg,The wheel loader is transferring soil. 
2,001787.jpg,A wheel loader is traveling (loaded) with dirt across a construction site.
2,001788.jpg,the dozer is traveling at the site.
2,001788.jpg,A dozer is stripping roots and branches in a forest.
2,001789.jpg,An excavator is loading a dump truck and several excavator and dump trucks are waiting in distance.
2,001789.jpg,An excavator is dumping soil into a dump truck and several excavator and dump trucks are waiting in distance.
2,001791.jpg,the concrete mixer truck is arriving at the site.
2,001791.jpg,A concrete mixer truck is exiting the construction sites.
2,001792.jpg,One concrete mixer machine is moving on paved road.
2,001792.jpg,A concrete mixer truck is parked in a parking lot.
2,001793.jpg,A dozer parked on site.
2,001793.jpg,A dozer is being parked on the parking site.
2,001794.jpg,A concrete mixer truck is moving on the construction site.
2,001794.jpg,the concrete mixer truck is traveling at the road.
2,001795.jpg,A wheel loader is traveling with its load.
2,001795.jpg,One wheel loader is transporting sand.
2,001796.jpg,An excavator is loading the soil into the dump trucks.
2,001796.jpg,An excavator is excavating soil with the help of two dump trucks.
2,001797.jpg,The backhoe loader is excavating
2,001797.jpg,A backhoe loader is moving on land.
2,001799.jpg,Mobile crane is mounting its outrigger to the ground.
2,001799.jpg,A mobile crane is parked at a site stabilized by an outrigger.
2,001801.jpg,Concrete Mixer truck traveling on a public road.
2,001801.jpg,A concrete mixer truck are driving to a site.
2,001803.jpg,A backhoe loader is scooping soil at a site.
2,001803.jpg,A back hoe loader is loading the soil.
2,001804.jpg,A wheel loader is travelling with a load on a site.
2,001804.jpg,A wheel loader is traveling with a bucket of sand.
2,001805.jpg,A backhoe loader is travelling at the parking site.
2,001805.jpg,An empty backhoe loader is travelling 
2,001806.jpg,A wheel loader is transporting dirt across a construction site.
2,001806.jpg,The wheel loader is transferring sand.
2,001807.jpg,The excavator is loading soil. 
2,001807.jpg,the excavator is excavating
2,001808.jpg,Two wheel loaders are travelling empty on the construction site.
2,001808.jpg,Two wheel loaders are moving over soil surface in opposite direction.
2,001809.jpg,The wheel loader is empty
2,001809.jpg,a wheel loader is currently off service
2,001810.jpg,A concrete mixer truck is travelling on the road.
2,001810.jpg,A concrete mixer truck is moving over paved road.
2,001811.jpg,An excavator is dumping dirt and rocks into a dump truck. Two dump trucks are transferring materials in a construction site.
2,001811.jpg,An excavator and a dump truck are excavating. Two loaded dump trucks are moving.
2,001812.jpg,A mobile crane is sitting on site.
2,001812.jpg,The mobile crane is transferring
2,001813.jpg,A dozer is spreading the soil.
2,001813.jpg,A bulldozer is leveling the ground at a site.
2,001814.jpg,Two backhoe loaders are excavating soil in an urban area.
2,001814.jpg,Two backhoe loaders are at rest.
2,001815.jpg,A compactor is parked at a site.
2,001815.jpg,A compactor is compacting a gravel road.
2,001816.jpg,Dozer is spreading
2,001816.jpg,One dozer is pushing sand.
2,001817.jpg,A dozer pushing soil and rocks downhill.
2,001817.jpg,One dozer is pushing soil.
2,001818.jpg,Wheel loader picking up soil with bucket.
2,001818.jpg,A wheel loader is loading the soil.
2,001819.jpg,The grader is compacting the soil road.
2,001819.jpg,A grader is grading a dirt road.
2,001820.jpg,A mobile crane is lifting cargo at a construction site.
2,001820.jpg,the mobile crane is stabilized on the site with its outriggers and started lifting materials.
2,001821.jpg,A wheel loader is loading soil into the dump truiuck.
2,001821.jpg,A wheel loader is dumping the soil in the dump truck.
2,001822.jpg,An Excavator is excavating the ground. A dump truck is awaiting the load from the excavator.
2,001822.jpg,The excavator is loading rocks and a dump truck is waiting 
2,001823.jpg,The dump truck is hauling dirts between an excavator and a wheel loader.
2,001823.jpg,the wheel loader is about to load its bucket with a pile of soil while a dump truck is leaving the site loaded.
2,001824.jpg,A tower crane is swinging the loaded material.
2,001824.jpg,Two tower cranes have been set up for lifting purpose.
2,001825.jpg,One excavator is dumping soil from swinging bucket.
2,001825.jpg,excavator is emptying load into dump truck.
2,001826.jpg,A mobile crane is lifting a steel box on the road.
2,001826.jpg,the mobile crane is lifting a big box at the site.
2,001827.jpg,A wheel loader is parked on a parking lot.
2,001827.jpg,One wheel loader is leaving yard.
2,001828.jpg,A backhoe loader is loading the soil from the field.
2,001828.jpg,a backhoe loader is dumping materials from its front bucket 
2,001829.jpg,A compactor is compacting the floor.
2,001829.jpg,The backhoe loader is excavating the ground and the compactor is compacting the road
2,001830.jpg,One wheel loader is loading soil in bucket and another wheel loader is dumping soil from bucket into a dump truck.
2,001830.jpg,A wheel loader is dumping its load into a dump truck. There is another wheel loader on the left of the picture that is digging into the pile of dirt. 
2,001831.jpg,Mobile crane driving on public road.
2,001831.jpg,A mobile crane is travelling to a site.
2,001832.jpg,The dozer is traveling empty but the two graders are grading
2,001832.jpg,A dozer and grader are present on a construction site.
2,001835.jpg,A compactor is standing at rest at a site.
2,001835.jpg,A compactor is moving on the parking site.
2,001836.jpg,An excavator is lifting load. There is a dump truck waiting for the load. Another truck is waiting
2,001836.jpg,An excavator is excavating soil at a site while two dump truck transfer the excavated soil.
2,001837.jpg,A wheel loader is loading the construction material on the field.
2,001837.jpg,A wheel loader is loading gravel 
2,001838.jpg,A mobile crane is raising wires between electric poles.
2,001838.jpg,The mobile crane is transferring nothing. 
2,001839.jpg,The excavator is unloading gravel into the dump truck and the dump trucks are waiting. 
2,001839.jpg,the excavators are excavating while multiple dump trucks are waiting on site
2,001841.jpg,A wheel loader is pushing soil in a rural area.
2,001841.jpg,the wheel loader is dumping dirt.
2,001842.jpg,An excavator is excavating rocks.
2,001842.jpg,One excavator is lifting gravel mixed soil using bucket.
2,001843.jpg,A dozer is stripping dirt on a dirt surface.
2,001843.jpg,One dozer is pushing soil.
2,001844.jpg,Two excavators are clearing a site and three dump trucks are transferring the excavated material.
2,001844.jpg,The excavators are loading the dump trucks
2,001845.jpg,An excavator is excavating soil from a site while two dump trucks transfer the excavated soil.
2,001845.jpg,An excavator is excavating the soil. Two dump trucks are waiting to be loaded.
2,001847.jpg,the excavator is stopped and currently resting its bucket cylinder 
2,001847.jpg,An excavator is standing parked at a site.
2,001848.jpg,A dump truck is travelling on the field.
2,001848.jpg,Dozer is pushing dirt towards dump truck
2,001849.jpg,One excavator is going to dump soil from swinging bucket into a dump truck.
2,001849.jpg,An excavator dumping rocks and dirt into a dump truck.
2,001851.jpg,A compactor is travelling on the parking site.
2,001851.jpg,One compactor is moving over paved surface.
2,001852.jpg,the excavator is excavating soil at the site.
2,001852.jpg,An excavator is collecting rocks to dump into dump truck.
2,001853.jpg,A backhoe loader is loading the soil from the field.
2,001853.jpg,A backhoe loader is traveling empty
2,001855.jpg,the compactor is smoothing a sandy road.
2,001855.jpg,A compactor is compacting the road to make it smooth.
2,001856.jpg,One concrete mixer machine is taken out.
2,001856.jpg,A concrete mixer truck is parked in a construction site.
2,001857.jpg,The dozer is pushing the soil.
2,001857.jpg,Dozer is pushing dirt.
2,001858.jpg,the concrete mixer truck is traveling on the streets.
2,001858.jpg,A concrete mixer truck is in standby at a parking lot.
2,001859.jpg,An excavator is loading a dump truck with dirt.
2,001859.jpg,One excavator is unloading its loaded bucket towards a dump truck.
2,001860.jpg,One tower crane is lifting material.
2,001860.jpg,the tower crane is lifting a load
2,001861.jpg,A grader is leveling snow off a road.
2,001861.jpg,A grader is grading the snow.
2,001862.jpg,One dozer is pushing soil on sloping surface.
2,001862.jpg,A dozer is climbing a hill of stones.
2,001863.jpg,One grader is grading dirt surface using blade.
2,001863.jpg,A grader is grading a leveled road.
2,001864.jpg,A wheel loader is loading dirt.
2,001864.jpg,A bulldozer is pushing soil away to clear a site.
2,001865.jpg,A backhoe loader is traveling empty.
2,001865.jpg,A backhoe loader is maneuvering.
2,001866.jpg,A compactor is compacting a road.
2,001866.jpg,A compactor is compacting the base for a road.
2,001867.jpg,Three excavators are loading dirt and four dump trucks are waiting. 
2,001867.jpg,Excavators are dumping rocks into the dump trucks.
2,001868.jpg,One excavator is loading a dump truck another excavator swinging its load one dump truck is driving towards the excavators and two dump trucks are driving away.
2,001868.jpg,Two excavators are unloading soil into two dump trucks. 
2,001869.jpg,Excavators are dumping the soil into the dump trucks from the field.
2,001869.jpg,An excavator is lifting load. A dump truck waits in front of it.
2,001870.jpg,The compactor is compacting the gravel. 
2,001870.jpg,A compactor is driving to the site.
2,001871.jpg,A grader is grading the side bank.
2,001871.jpg,The grader is grading the sand. 
2,001873.jpg,A compactor is at rest in a parking site.
2,001873.jpg,A compactor is parked on site.
2,001874.jpg,A mobile crane is parked across a road.
2,001874.jpg,One mobile crane is crossing an intersection.
2,001875.jpg,A concrete mixer truck is parked at a parking lot.
2,001875.jpg,One concrete mixer truck is turning.
2,001876.jpg,The mobile crane is lifting
2,001876.jpg,a mobile crane has raised it's ladder and currently supporting workers
2,001877.jpg,A dozer is pushing stones in the woods.
2,001877.jpg,The dozer is moving rocks.
2,001878.jpg,An excavator and a dump truck are excavating. 
2,001878.jpg,An excavator and a dump truck are clearing a site.
2,001879.jpg,A wheel loader is transferring soil at a site.
2,001879.jpg,a wheel loader is fully loaded with sand and is leaving the site to unload 
2,001880.jpg,The wheel loader is unloading wood into the dump truck.
2,001880.jpg,A wheel loader is dumping construction waste into dump truck.
2,001881.jpg,One backhoe loader is loading soil for transferring.
2,001881.jpg,A backhoe loader pushing dirt and rocks in a construction site.
2,001882.jpg,An excavator is dumping the soil into the dump truck.
2,001882.jpg,Excavator emptying bucket of soil into dump truck.
2,001883.jpg,One grader is grading soil surface using blade.
2,001883.jpg,A grader is spreading the soil on the road.
2,001884.jpg,An excavator is excavating the soil and the dump truck is loaded with soil.
2,001884.jpg,the excavator is loading a dump truck with sand from the site.
2,001886.jpg,The excavator is loading sand and the dump truck is waiting. 
2,001886.jpg,An excavator is lifting load. There is a dump truck on the left awaiting load
2,001887.jpg,the backhoe loader is crossing a narrow river.
2,001887.jpg,A backhoe loader is loading water.
2,001888.jpg,A wheel loader is parked on a construction site.
2,001888.jpg,One wheel loader is lifting soil in bucket.
2,001889.jpg,Two excavators are loading sand and two dump trucks are waiting. 
2,001889.jpg,Two excavators and two dump trucks are clearing soil from a site.
2,001890.jpg,the excavator is loading a dump truck with dirt from the site.
2,001890.jpg,An excavator is loading a dump truck with dirt.
2,001891.jpg,A wheel loader is transferring. 
2,001891.jpg,One wheel loader is going to load gravel mixed sand.
2,001892.jpg,Two concrete mixer truck are arriving at site.
2,001892.jpg,two concrete mixer trucks are transferring concrete down the road  
2,001893.jpg,A compactor parked on the road covered with snow.
2,001893.jpg,A compactor is compacting frozen ground.
2,001894.jpg,One excavator is ready to excavate soil.
2,001894.jpg,An excavator is excavating the soil from the site.
2,001896.jpg,A dozer is standing still on a pile of rocks.
2,001896.jpg,A bulldozer is parked at a site near a water body.
2,001897.jpg,A wheel loader is travelling on a site.
2,001897.jpg,A wheel loader is traveling empty
2,001898.jpg,A mobile crane and an excavator are parked at a site.
2,001898.jpg,A mobile crane and an excavator are sitting at a site.
2,001899.jpg,Two mobile cranes are moving on the road.
2,001899.jpg,The mobile crane is transferring nothing.
2,001900.jpg,An excavator is loading a dump truck with dirt.
2,001900.jpg,The excavator is unloading soil into the dump truck.
2,001902.jpg,the concrete mixer truck has stopped at the parking lot.
2,001902.jpg,A concrete mixer truck is driving to a site.
2,001903.jpg,The dozer is pushing leaves. 
2,001903.jpg,A parked dozer and a stationary dump truck are in the woods.
2,001905.jpg,The mobile crane is lifting
2,001905.jpg,A mobile crane is located on a road.
2,001906.jpg,A excavator is swinging its soil loaded bucket towards a dump truck.
2,001906.jpg,An excavator is dumping soil into a dump truck.
2,001907.jpg,A backhoe loader is collecting soil from the dump.
2,001907.jpg,One backhoe loader is backfilling soil.
2,001908.jpg,a wheel loader is loading a dump truck with sand
2,001908.jpg,The wheel loader is lading the dump truck
2,001909.jpg,The mobile crane is standing still.
2,001909.jpg,A mobile crane is parked in a parking lot.
2,001910.jpg,A grader s sitting on site.
2,001910.jpg,A grader is maneuvering.
2,001911.jpg,the excavator is moving dumped sand
2,001911.jpg,One excavator is collecting loose material  using bucket.
2,001912.jpg,the wheel loader is traveling fully loaded at the site.
2,001912.jpg,The wheel loader is loading dirt.
2,001913.jpg,One wheel loader is going to carry soil into bucket.
2,001913.jpg,A wheel loader traveling (empty) in a construction site.
2,001914.jpg,Backhoe loader on pile of dirt.  Backhoe loader excavating dirt with backhoe bucket.
2,001914.jpg,A backhoe loader is loading the soil on the field.
2,001915.jpg,A grader is grading the dirt road.
2,001915.jpg,One grader is grading soil using blade.
2,001916.jpg,A dozer is pulling a steel beam on the ground
2,001916.jpg,A dozer is pulling a steel beam on the ground to grading the site.
2,001918.jpg,the backhoe loader is traveling empty towards the site
2,001918.jpg,The backhoe loader is standing still. 
2,001919.jpg,the backhoe loader is traveling on the road.
2,001919.jpg,A backhoe loader is loading the soil.
2,001920.jpg,A concrete mixer truck is traveling on an asphalt road.
2,001920.jpg,A concrete mixer truck is travelling on the road.
2,001921.jpg,The backhoe loader is loading soil. 
2,001921.jpg,A backhoe loader is about to scoop dirt on a hillside.
2,001922.jpg,A mobile crane is standing still on a road.
2,001922.jpg,he mobile crane is traveling down the road.
2,001923.jpg,One wheel loader is transporting sand.
2,001923.jpg,A wheel loader transferring sands. 
2,001924.jpg,A wheel loader and a dump truck are clearing debris from a site.
2,001924.jpg,A wheel loader is dumping the rocks and the soil  into the dump truck.
2,001925.jpg,A backhoe loader is standing at a site.
2,001925.jpg,A back hoe loader is loading the soil.
2,001926.jpg,a grader is grading the soil on the site.
2,001926.jpg,One grader is grading dirt road.
2,001927.jpg,A mobile crane is parked on the parking site.
2,001927.jpg,A mobile crane is driving to a site.
2,001928.jpg,The mobile crane is lifting nothing.
2,001928.jpg,A mobile crane is sitting at rest.
2,001929.jpg,A backhoe loader is digging a trench at a site.
2,001929.jpg,A backhoe loader is excavating soil in an urban area.
2,001930.jpg,Two concrete mixer trucks are travelling to a site.
2,001930.jpg,Two concrete mixer trucks are parked in a parking lot.
2,001931.jpg,A mobile crane and a tower crane are located on a construction site.
2,001931.jpg,The mobile crane is lifting vehicles.
2,001932.jpg,A dump truck is loaded with dirt and is travelling on the road.
2,001932.jpg,A bulldozer and a dump truck are travelling on a site.
2,001934.jpg,the wheel loader is dumping sand into a dump truck.
2,001934.jpg,A wheel loader is loading soil into the dump truck.
2,001935.jpg,A dozer and mobile crane parked on the side of a sandy road.
2,001935.jpg,The dozer is standing still. 
2,001936.jpg,A backhoe loader is maneuvering the soil.
2,001936.jpg,A backhoe loader is travelling on the field.
2,001937.jpg,A compactor is compacting soil at a site.
2,001937.jpg,The compactor is compacting the area
2,001938.jpg,A backhoe loader is traveling (loaded) in a construction site.
2,001938.jpg,One backhoe loader is lifting soil.
2,001939.jpg,One wheel loader is transporting gravel mixed soil in bucket.
2,001939.jpg,A wheel loader is carrying the construction material on the construction site.
2,001940.jpg,An excavator is clearing soil.
2,001940.jpg,The excavator is loading the dump truck
2,001941.jpg,Two tower cranes are swinging on a construction site.
2,001941.jpg,The tower crane is standing still.
2,001943.jpg,A dozer is pushing the soil and rocks on the field.
2,001943.jpg,the dozer is performing slot dozing
2,001944.jpg,A grader is ditching soil on the road.
2,001944.jpg,A grader is maintaining the dirt road.
2,001945.jpg,One dozer is pushing soil.
2,001945.jpg,A dozer is pushing the soil on the field.
2,001946.jpg,A backhoe loader is being parked at the parking site.
2,001946.jpg,Backhoe loader parked on site.
2,001947.jpg,A concrete mixer truck is traveling on a construction road.
2,001947.jpg,One concrete mixer is moving over dirt surface.
2,001948.jpg,the grader is moving windrows from the road.
2,001948.jpg,An arader is moving on the construction site.
2,001950.jpg,A wheel loader is parked in front of a storage building.
2,001950.jpg,The wheel loader is standing still. 
2,001951.jpg,the backhoe loader has arrived at the site.
2,001951.jpg,A backhoe loader is going to the site.
2,001952.jpg,A grader is maneuvering the road.
2,001952.jpg,A grader is spreading concrete on the road.
2,001954.jpg,A wheel loader is lifting a slab of concrete.
2,001954.jpg,the wheel loader is transferring rocks.
2,001955.jpg,A mobile crane lifted
2,001955.jpg,One mobile crane is being set up.
2,001956.jpg,Multiple dump trucks are transferring wet soil which a wheel loader is loading in them.
2,001956.jpg,Three dump trucks a wheel loader and a dozer are travelling on the road.
2,001957.jpg,A compactor is leveling the road.
2,001957.jpg,A compactor is compacting gravel on a road.
2,001958.jpg,One backhoe loader is moving in reverse direction.
2,001958.jpg,a backhoe loader excavating the soil.
2,001960.jpg,The excavator is loading dirt and 2 dump trucks are waiting for dirt. 
2,001960.jpg,An excavator is dumping soil into a pit.
2,001961.jpg,An excavator is lifting dirt and a dump truck is waiting to be loaded.
2,001961.jpg,Two excavators and multiple dump trucks are clearing soil from a site.
2,001962.jpg,A mobile crane is parked on the road.
2,001962.jpg,A mobile crane is travelling to a site.
2,001963.jpg,A mobile crane is moving on a road.
2,001963.jpg,the mobile crane is traveling on the streets. 
2,001964.jpg,One compactor is compacting soil using roller.
2,001964.jpg,A compactor is compacting the soil on the field. A wheel loader and an excavator are excavating the soil from the field.
2,001966.jpg,A concrete mixer truck is waiting along the road.
2,001966.jpg,The concrete mixer is transferring the load.
2,001967.jpg,The backhoe loader is standing still. 
2,001967.jpg,A backhoe loader is dumping materials into a dump truck.
2,001968.jpg,A compactor is compacting the soil.
2,001968.jpg,A compactor is compacting the soil on the plot of land.
2,001969.jpg,Two graders are leveling a cleared area.
2,001969.jpg,two graders are grading the road.
2,001970.jpg,A grader is spreading dirt on a construction site.
2,001970.jpg,One grader is flatening dirt surface using blade.
2,001971.jpg,A compactor is compacting a dirt road.
2,001971.jpg,One compactor is compacting soil surface using roller.
2,001972.jpg,Excavator loading dump truck with soil.
2,001972.jpg,the excavator is lading the dump truck
2,001973.jpg,The concrete mixer truck is moving down the road.
