File name,Total number of captions, Duplicate caption, Number of duplicates
,,A tower crane is swinging cargo to the top of a building.
Two tower cranes are in standby.,2
,,There are three tower cranes mounted on the buildings. One of the tower crane is lifting a blue construction component.,2
,,Tower crane lifting building panel.  Two tower cranes in background.  ,2
,,the tower crane are transferring building materials to the top of high-rise at semiurban area,2
,,three tower cranes are lifting materials,2
,,A tower crane is lifting building parts,2
001207.jpg,2,A grader is travelling on a road.,2
001226.jpg,2,A concrete mixer truck is travelling to a site.,2
001312.jpg,2,A mobile crane is travelling on the road.,2
001392.jpg,2,A compactor is compacting the road.,2
001448.jpg,2,A compactor is compacting a road.,2
001834.jpg,2,A mobile crane is lifting a steel beam on a road.,2
001840.jpg,8,A wheel loader is loading sand from the heap.,2
001933.jpg,2,A grader is travelling on a road.,2
002063.jpg,3,The concrete mixer truck is mixing concrete. ,2
002130.jpg,4,A dump truck and a wheel loader are clearing excavated soil from a site.,2
002151.jpg,2,A tower crane is set up besides a road.,2
002164.jpg,2,A grader is grading a ground full with tall grass.,2
002224.jpg,2,A concrete mixer truck is travelling on the road.,2
002375.jpg,2,A concrete mixer truck is driving to a site.,2
002418.jpg,2,A dozer is parked with its bucket lifted.,2
002589.jpg,2,A dozer is rollover besides a road.,2
002733.jpg,5,the wheel loader is releasing full bucket of gravels to a dump truck on a work site,4
002741.jpg,2,A dozer is spreading the soil.,2
002784.jpg,2,A mobile crane is travelling on the road.,2
002826.jpg,2,A wheel loader is travelling on a road.,2
002832.jpg,2,A dump truck is travelling on the field.,2
002975.jpg,3,the grader is shaping the road with its blade by moving dumped rocks.,2
003075.jpg,2,A compactor is compacting the road.,2
003135.jpg,2,A wheel loader is travelling on site.,2
003156.jpg,2,A mobile crane is travelling on a road at night.,2
003640.jpg,2,An excavator is excavating soil.,2
004109.jpg,2,A compactor is riding.,2
004128.jpg,2,A compactor is riding.,2
004247.jpg,2,A concrete mixer truck is riding.,2
004249.jpg,2,A concrete mixer truck is riding.,2
004259.jpg,2,A concrete mixer truck is riding.,2
004262.jpg,2,A concrete mixer truck is riding.,2
004265.jpg,2,A dump truck is dumping.,2
004356.jpg,2,A concrete mixer truck is riding.,2
004383.jpg,2,A mobile crane is riding.,2
004408.jpg,2,A concrete mixer truck is riding.,2
004436.jpg,2,A concrete mixer truck is riding.,2
004444.jpg,2,A concrete mixer truck is riding.,2
004459.jpg,2,A concrete mixer truck is riding.,2
004663.jpg,2,A compactor is riding.,2
004683.jpg,2,A concrete mixer truck is riding.,2
004687.jpg,2,A concrete mixer truck is riding.,2
004708.jpg,2,A mobile crane is riding.,2
004712.jpg,2,A wheel loader is riding.,2
004732.jpg,2,A concrete mixer truck is riding.,2
004735.jpg,2,A dump truck is riding.,2
004770.jpg,2,A dump truck is riding.,2
004782.jpg,2,A mobile crane is riding.,2
004800.jpg,2,A mobile crane is riding.,2
004842.jpg,2,An excavator is digging.,2
004899.jpg,2,A compactor is riding.,2
004929.jpg,2,A compactor is riding.,2
004967.jpg,2,A compactor is riding.,2
004983.jpg,2,A wheel loader is pushing soil.,2
005050.jpg,2,A wheel loader is transferring gravel.,2
005160.jpg,2,A concrete mixer truck is riding.,2
005162.jpg,2,A concrete mixer truck is riding.,2
005407.jpg,2,A concrete mixer truck is riding.,2
005467.jpg,2,A concrete mixer truck is riding.,2
005493.jpg,2,A compactor is riding.,2
005565.jpg,2,A mobile crane is riding.,2
005570.jpg,2,A concrete mixer truck is riding.,2
005588.jpg,2,A dump truck is riding.,2
005606.jpg,2,A compactor is riding.,2
005649.jpg,2,An excavator is riding.,2
005654.jpg,2,A wheel loader is riding.,2
005670.jpg,2,A concrete mixer truck is riding.,2
005674.jpg,2,A mobile crane is riding.,2
005683.jpg,2,A backhoe loader is riding.,2
005697.jpg,2,A wheel loader is riding.,2
005727.jpg,2,A mobile crane is riding.,2
005753.jpg,2,A mobile crane is riding.,2
005767.jpg,2,A concrete mixer truck is riding.,2
005786.jpg,2,A compactor is riding.,2
005790.jpg,2,A compactor is riding.,2
005936.jpg,2,A concrete mixer truck is riding.,2
005954.jpg,2,A mobile crane is riding.,2
005960.jpg,2,A wheel loader is riding.,2
005962.jpg,2,A mobile crane is riding.,2
005982.jpg,2,A mobile crane is riding.,2
006099.jpg,2,A wheel loader is pushing soil.,2
006101.jpg,2,A wheel loader is riding.,2
006178.jpg,2,A compactor is riding.,2
006197.jpg,2,A concrete mixer truck is riding.,2
006279.jpg,2,A mobile crane is riding.,2
006290.jpg,2,A mobile crane is riding.,2
006303.jpg,2,A mobile crane is riding.,2
006322.jpg,2,A concrete mixer truck is riding.,2
006323.jpg,2,A concrete mixer truck is riding.,2
006376.jpg,2,A concrete mixer truck is riding.,2
006507.jpg,2,A concrete mixer truck is riding.,2
006561.jpg,2,A backhoe loader is riding.,2
006565.jpg,2,A concrete mixer truck is riding.,2
006576.jpg,2,A wheel loader is riding.,2
006591.jpg,2,A backhoe loader is riding.,2
006602.jpg,2,A concrete mixer truck is riding.,2
006619.jpg,2,A mobile crane is riding.,2
006620.jpg,2,A concrete mixer truck is riding.,2
006632.jpg,2,A concrete mixer truck is riding.,2
006727.jpg,2,A compactor is riding.,2
006739.jpg,2,A compactor is riding.,2
006867.jpg,2,A compactor is riding.,2
006880.jpg,2,A concrete mixer truck is riding.,2
006914.jpg,2,A concrete mixer truck is riding.,2
006922.jpg,2,A mobile crane is riding.,2
006934.jpg,2,A mobile crane is riding.,2
007035.jpg,2,A concrete mixer truck is riding.,2
007069.jpg,2,A compactor is riding.,2
007188.jpg,2,A mobile crane is lifting a truck.,2
007301.jpg,2,A concrete mixer truck is riding.,2
007357.jpg,2,A concrete mixer truck is riding.,2
007416.jpg,2,A grader is riding.,2
007438.jpg,2,A compactor is riding.,2
007521.jpg,2,A concrete mixer truck is riding.,2
007529.jpg,2,A dump truck is riding.,2
007534.jpg,2,A backhoe loader is pushing soil.,2
007542.jpg,2,A mobile crane is riding.,2
007543.jpg,2,A mobile crane is riding.,2
007551.jpg,2,A mobile crane is riding.,2
007576.jpg,2,A concrete mixer truck is riding.,2
007596.jpg,2,A backhoe loader is riding.,2
007603.jpg,2,A mobile crane is riding.,2
007617.jpg,2,A mobile crane is riding.,2
007635.jpg,2,A backhoe loader is riding.,2
007637.jpg,2,A mobile crane is riding.,2
007642.jpg,2,A backhoe loader is riding.,2
007652.jpg,2,A concrete mixer truck is riding.,2
007655.jpg,2,A wheel loader is riding.,2
007672.jpg,2,A wheel loader is riding.,2
007785.jpg,2,A compactor is riding.,2
007821.jpg,2,A wheel loader is riding.,2
007822.jpg,2,A concrete mixer truck is riding.,2
007844.jpg,2,A concrete mixer truck is riding.,2
007853.jpg,2,A mobile crane is riding.,2
007866.jpg,2,A concrete mixer truck is riding.,2
007868.jpg,2,A concrete mixer truck is riding.,2
007940.jpg,2,An excavator is digging.,2
007943.jpg,2,An excavator is digging.,2
007972.jpg,2,A mobile crane is riding.,2
008105.jpg,2,A mobile crane is riding.,2
008145.jpg,2,A wheel loader is riding.,2
008176.jpg,2,A grader is riding.,2
008284.jpg,2,A concrete mixer truck is riding.,2
008288.jpg,2,A mobile crane is riding.,2
008380.jpg,2,An excavator is lifting soil.,2
008433.jpg,2,A concrete mixer truck is riding.,2
008514.jpg,2,A concrete mixer truck is riding.,2
008517.jpg,2,A mobile crane is riding.,2
008543.jpg,2,A concrete mixer truck is riding.,2
008584.jpg,2,A wheel loader is pushing soil.,2
008590.jpg,2,A dump truck is riding.,2
008612.jpg,2,A concrete mixer truck is riding.,2
008636.jpg,2,A mobile crane is riding.,2
008658.jpg,2,A wheel loader is riding.,2
008676.jpg,2,A mobile crane is riding.,2
008682.jpg,2,A concrete mixer truck is riding.,2
008691.jpg,2,A mobile crane is riding.,2
008730.jpg,2,A wheel loader is riding.,2
008782.jpg,2,A compactor is riding.,2
008795.jpg,2,A compactor is riding.,2
008878.jpg,2,A mobile crane is riding.,2
008879.jpg,2,A concrete mixer truck is riding.,2
008900.jpg,2,A compactor is riding.,2
008909.jpg,2,A mobile crane is riding.,2
008928.jpg,2,A concrete mixer truck is riding.,2
009278.jpg,2,A dump truck is dumping.,2
009298.jpg,2,A wheel loader is riding.,2
009416.jpg,2,A concrete mixer truck is riding.,2
009417.jpg,2,A mobile crane is riding.,2
009420.jpg,2,A wheel loader is riding.,2
009424.jpg,2,A concrete mixer truck is riding.,2
009433.jpg,2,An excavator is dumping soil in a dump truck.,2
009436.jpg,2,A backhoe loader is pushing soil.,2
009442.jpg,2,A concrete mixer truck is riding.,2
009450.jpg,2,A wheel loader is riding.,2
009541.jpg,2,A concrete mixer truck is riding.,2
009665.jpg,2,A compactor is riding.,2
009696.jpg,2,A mobile crane is riding.,2
009734.jpg,2,A concrete mixer truck is riding.,2
009746.jpg,2,A concrete mixer truck is riding.,2
009765.jpg,2,A wheel loader is riding.,2
009852.jpg,2,An excavator is digging.,2
009855.jpg,2,A backhoe loader is riding.,2
